content,polarity
suka bgtt sebenarnya belanja disini tapi punya saya ga bisa cod lagi tolong dong gimana cara biar bisa cod lagi soalnya pengen beli² lagi😔😔,Positif
"Produknya lengkap...tapi kalo kirim barang ke daerah sy jangan pake jnt,kita beli barang cod,tapi barang gk diantar harus jemput,kalo tidak barang di kembalikan,karna jarak terlalu jauh",Positif
Sangat puas belanja di shopee dan lebih puas nya lagi karena ada COD cek dulu jadi tidak ragu kalau barang tidak sesuai dengan apa yang kita inginkan . Terimakasih shopee 😘😘😘,Positif
belanja di shopy bagus banget tapi sayang saya sanggat kecewa gak bisa cod lagi padahal barang sya pesan selalu saya ambil tolong dong bisa cod lagi padahal kurir selalu antr paket sya sya sellu kasih lebih uang nya nih kok gak bisa cod lagi ya saya sanggat kecewa😭😭,Positif
"Aplikasi bobrok. Klalau emang gak bisa cod ke semua daerah, terutama daerah yang begitu jauh. Jangan tampilkan barang cod untuk seluru wilayah",Negatif
"Belanja di shopee sekarang makin keren, gratis ongkirnya makin seru barang yg di jual, juga banyak yg baru bisa COD lagi pakoknya mantap heppi shopee.",Positif
Suka pekek shoppi sekarang ..ada payleter nya ..jadi gak perlu cod...saat kita kerja .gak perlu ambil paket ...paket bisa di titipin.,Positif
"Kami pengguna baru shopee dan insyaallah akan jd pelanggan tetap karena shopee menampilkan banyak produk harga murah disertai berbagai bonus pilihan dan dg adanya sistem pembayaran COD CEK DULU memberikan kepuasan kpd kami. Terimakasih SHOPEE KU semoga sukses terus, amin.",Positif
"Aplikasi sih oke, murah dengan segala kemudahan dan keamanan. Tapi Game Buble-nya sangat terlalu keseringan error code 2001! Bikin emosi, sudah puluhan kali! Masa pembuat game Buble-nya kalah dengan anak SMK dan Umum? Bikin malu saja cupunya!",Positif
Sangat membantu belanja dsini pelayanan pun baik dan ktika brang yg di kirim ada rusak nya penangan pengembalian dana sngat di bntu oleh shopee nya cuma klau ada efent diskon gk bsa cod,Positif
nggak banget keseringan belanja COD dibatasi... akun dibatasi... padahal banyak banget yg mau d beli secara aku punya toko grosir jg,Negatif
Discoon susu harga 420.000 Diskon ongkir gratis Diskon shopee 42.000 Biaya layanan cod parah 18.000 Tapi kok masih mahal jotohnya padahal gede disconnya kok masih tinggi 443.000 Ini skarang sya baru kasih bintang ulasan Sudah ratusan x blanja Gak ada yg murah Diskon² jatuhnya malahblebih tinggi... Masih jauh sama Apl sebelah L Sistem cod tampa batas yg biaya layanan cuuman 1000.,Negatif
"Halo min... Kok akun saya tidak bisa COD, Padahal akun saya akun baru, Tidak pernah memesan apa apa, Saya ingin pesan di shopee tapi fitur COD'nya belum aktif",Negatif
Hallo kak...maaf sebelumnya saya kecewa karena baru saja membuat akun metode cod tidak bisa digunakan..tolong perbaiki yah semoga akun sayah bisa kembali melakukan pembayaran metode cod...karena saya belum pernah melakukan kelalaian..tolong saat ini segera diperbaiki semoga akun saya bisa melakukan pembayaran metode cod.,Negatif
"Shopee pay nya tolong berikan toleransi bagi customer yg telatnya beberapa hari saja, pas mau nyoba lagi limitnya kreditnya malah di bekukan dan itu sudah setahun lebih ini akun limit kredit shopee pay saya di bekukan, padahal sudah sering beli beli COD maupun pembayaran langsung, sampai sekarang tidak bisa di gunakan lagi shopeepay saya. Cukup kecewa dengan shopee problem kecil begini,",Positif
"Ini kenapa tiba² semua produk tidak bisa cod dah😭,,padahal sebelumnya bisa. Tolong dong min kalau ini bug atau gimana dibenerin dulu deh,udah mau 11.11 loh😥",Negatif
"Maaf belum bisa kasi full bintangnya. Sekedar mau cerita untuk wilayah Kalimantan spx tidak bisa diandalkan bisa sampai 1 bulan ngga datang paketnya. Dulu krm pke j&t 1 Minggu dah bisa diterima paketnya bah sekarang pesan barang cod mau ganti via jasa ga bisa harus pkek spx, datang ga datang paketnya yg ada ngga tau kemana nyasarnya. Kalo pun datang kurirnya pun ngga ada chat hingga barang tu ngendap dikantornya ujung² retrun",Positif
"barang tidak terlalu lengkap,tapi suka banget karena ada fitur cod ini, apalagi ada tambahan fitur baru,cod cek dulu ga kaya platform sebelah ⭐⭐⭐⭐⭐",Positif
"kenapa sih klo yg udah bayar via pay/tranfer lambat kirim?tp klo cod kirimnya cepet bngt?terutama penyortiran cianjur barang mandek sampe 3 hr, tp klo cod kok 1x24 bandung cipanas nyampai",Positif
Apa gunanya shopee cod cek dulu kalau barang tidak sesuai di tolak.. langsung tidak bisa cod lagi..sudah bisa cod sekarang.,Positif
"Senang belanja di shopee,apalagi bisa bayar COD dan bebas ongkir,masalah barang sih Alhamdulillah sudah ketemu toko yang cocok,terimakasih shopee",Positif
"Padahal cuman reset hp, pas log in malah minta barcode padahal di 1 handphone yang sama, dan tidak bisa log inq",Negatif
shopee skarang mahala ya ongkirnya+ga bisa cod di saya padahal awalnya bisa kenapa bisa sampe gini sihh? ongkir nya jauh bet lagi,Negatif
tolong dong shopee ekspedisi spx dikalimantan timur tiadakan . paket saya 8 tidak ada yg sampe dan smua dikembalikan sehingga akun saya tdk bsa dipakai COD !!!!!!! tolong ditindak lanjuti,Negatif
Shopee.. Kok aku gak bisa metode pembayaran ya.. COD gak bisa terus transfer via bank juga gak bisa.. Gimanaa dong gak bisa order,Positif
"Belanja online lebih cepat, mudah, gak ribet pembayaran nya bisa cod bisa juga menggunakan spaylater.pokok nya shopee is the best",Positif
"Shopee knpa sekarang gak ad gratisan lgi ongkos kirim nya klo cod ,mhal sekarang. Pdahal saya suka shoping. Jd sedih sekarang ongkir mahal. Sesama medan z d aplikasi q ongkir nya 10k smpai 20k. Walaupun sya sllu cod insya Allah sya sllu amanah udah 7 tahun sya pakai cod ga pernh bermasalah, alhamdulillah. Tolong gratisan nya y shopee. Semoga shopee smakin d depan.🥰",Positif
Maaf metode pembayaran COD harus semua penjual aktifkan karna itu pilihan pelanggan mau bayar pake apa biar aman dan sama2 untung gak repot Lgi keluar beli voucher atau transfer ..ok bos qhu shopee ttp no 1,Positif
"memudahkan aku disegala hal, kdang kalap COD terus... sampe tetanggaku laporan ke suami, saking banyaknya paket datang... semoga kedepannya ada fitur marketnya khusus buat makanan segar krn aku juga suka belanja sayur lewat online.. biar cuma app Shopee aja yg ada d hpku, 😂😂",Positif
sengaja banget pesan yg di pesan tiba tiba di batal kan padahal aku ga batalin . . sengaja banget biar cod bayar ditempat nya gak ada lg,Negatif
"Aplikasi kek taik,katanya cod cek dulu,giliran barang yg dikirim toko gak sesuai deskripsi malah cod ku dimatikan...auto uninstal",Negatif
Masih babyak toko yg belum memakai pitur COD... Sulit untuk melakukan pembayaran... karna saldo lebih sering tidak berisi. He he,Positif
Kak kenapa ya kalau buat scan barcode pembayaran selalu gagal padahal saldo cukup kualitas jaringan baik...,Positif
"Baru pengembalian barang 2x aja skrng akunku gabisa dibuat metode cod lagi, hah!! Shope aneh. Ga layak deh",Negatif
"Seneng belanja disini, pengiriman cepat, sering ada promo gratis ongkir dan bisa cod juga",Positif
Segini dlu ya bintang nya Min minta tolong dong apk nya kok kadang error klo pakai mode COD cek dlu itu gak bisa,Positif
"Pengirimannya cepat dan juga senang aja belanja disini karena ada fitur COD cek dulu, jadi kita bisa retur barang jika tidak sesuai pesanan",Positif
makin males aja kalo mau CO ga bisa pake sistem COD entah kenapa ko ga bisa tolong ya pihak shopee tolong kembalikan fitur COD nya lagi pdahl saya sudah 4th penguna shoppe,Negatif
"Makin lama makin kek taii, pengembalian cuma sekali langsung gak bisa cod padahal udah Gold member.. Gak usah pada instal Shopee kawan",Negatif
"Banyak toko penipu, beli nya apa datang nya apa, pas di retur barang ga datang lagi.via COD. Kecewa terlalu banyak toko penipu, sangat merugikan saya",Negatif
"Saya senang Shopee sekarang ada COD buka dulu.... Karena masih banyak toko yg nipu, yg ditawarkan/yg di pict tidak sesuai dengan yang diterima... Saya merasa terbantu",Positif
Semoga semakin sukses Selama ini sangat puas Gratis ongkir nya dan pelayanan cod cek nya terus di pertahankan,Positif
"shopee skarang mulai GK jelas ,,sangat ,,mengecewakan pelanggan ,barang yg datang kdang GK sesuai dngn yg di pesan,,barang GK di terima bilang kurir ny di tolak pembeli,,wajar di tolak krna barang GK sesuai,,dngn yg di pesan sasaran ny COD di nonaktipkan udh pengiriman ny lambat ,lgi kecewa bngtt,",Negatif
"Good Job recomended mantap, apalagi dengan adanya COD buka dulu baru bayar, ini yang tidak ada di App online lainnya serius... Shopee is the best",Positif
Aku suka belanja dishopie karna bisa cod cek dulu terimakasih Shopie selalu memberikan layanan terbaik,Positif
"Ketika setiap gue cari barang dengan COD, pas masuk ke barangnya malah gk bisa COD,padahal di pencarian ada tanda COD nya. Bintang 1 👎👎👎",Negatif
Sekarang ketagihan belanja di Shoppee soalnya di aplikasi Tiktok udah gak bisa cod terus pengiriman nya jga lama 😊,Positif
"Bagus banget aplikasi ini simpel ,hampir semua bisa cod paling top pokoknya",Positif
Puas belanja dishoper cuma knpa sekarang metode pembayaran dengan sistem cod sangat susah dijumpai kala belanja dengan nominal dibawah 50k,Positif
"shopee skrg ne g bisa cod lagii, semua akun dah coba hnya berapa x cod aj bisa nya,tolong ditingkatkan",Negatif
"Enak Pesan di shopee ada COD+CEK DULU,klau barang tidak sesuai dgn pesanan bisa di kembalikan.",Positif
"Ayo belanja pakai aplikasi Shopee COD di seluruh pelosok negeri yang ada sinyal 4G sabang sampai maroke, pokoknya mantap banget dah😀😀😀",Positif
"Jadi nggk was was kalo pesan barang.krn adanya pilihan COD Cek Dulu.kalo nggk sesuai dg pesanan,tinggal dibalikin lg.👍👍👍",Positif
Makasih shopee aplikasi yg banyak membantu banyak orang untuk jual beli barang dg mudah dan praktis diantar sampai tujuan alias cod goood,Positif
"Ok bagus selalu sesuai pesanan tiap pembelian cod,,,tingkatkn terus kepercayaannya",Positif
"Penjual yg ngirim barang gak jujur , pembeli yg kenak resikonya , kalau sering kembalikan barang dihilang kan metode cod nya !!! Shopeee tolol idiot!!!",Negatif
"Tidak pernah tepat waktu dalam memilih jasa pengiriman. Mengecewakan, padahal non COD",Negatif
"Buruk , udah klaim promo tapi gak bisa dipakek. Koin juga dikit gak kayak lazada, return susah, shopee cuma menang ongkir aja sama cod.",Negatif
"sekali sukses pesen dg COD, maka tiap kali belanja selalu dapat COD dalam pembayaran nya.",Positif
Sy sangat senang berbelanja disini🫠 tapi sayangnya paket sy tidak pernah return tapi COD nya suka non aktif.,Positif
"Sekedar masukan utk team Shopee, tolong dibuatkan PIN untuk transaksi menggunakan metode COD, agar pemilik akun tidak was was saat hp di otak atik anak, eee dak taunya sdh banyak pesanan metode COD yg terklik oleh anak-anak yg tidak mengerti, tolong di atensi masukan saya, terima kasih",Positif
"Pengiriman emang cepet tapi gasuka sama kurir nya ga ramah, kalo sistem cod minta bayarnya dilebihin gimana sih kurir satu konsepnya, padhl sblm org itu gagitu kok yg satu ini bkin kesel",Negatif
"Tak bisa login, minta verifikasi code QR. padahal hp lama rusak. Tak puny IG juga. sepertinya bakal berpisah.",Negatif
"COD hampir selalu gagal, kurir seenak nya buat pemberitahuan tampa konfirmasi, barang hampir selalu di return, pikirkan lagi kalau mau makai Shopee",Negatif
"Gara-gara nge retur barang jdi gabisa cod lama bgt, kalo datengnya sesuai mah gabakal di retur",Negatif
Sistem COD harus nunggu estimasi pengiriman lama betul mending di hapus aja sistemnya padahal beli barangnya jaraknya dekat,Negatif
"Tolong jangan masukkan toko yang tidak bertanggung jawab,tulis cod cod cod saat ingin pesan barang tidak bisa cod yang benar aja dong jangan bikin keliru pembeli",Positif
Kenapa sekarang toko di Shopee sering ngirim paket yng tidak di pesan tolong perbaiki lagi ya mana cod lagi lagi,Negatif
"Skrang gara2 COD, cek Outnya Muaaahal... Padahal Riwayat COD baik2 Saja😅,injmah dipakasa ngisi saldo Shopeepay baru murah 😅 udah PPN naik blnja makin Sakit",Positif
"kurir shopee express gk tanggung jawab di suruh kirim ulang gk mau, masa kita disuruh nyamperin di rumhnya padahal ini jam 5 belum ada ini cod buat mempermudah apa mempersulit min?!!",Negatif
Kalo bisa nyalain cod cek barang dulu semua aja boss biar tidak ada lagi toko penipuan,Positif
Di shopee harga murah bisa cod dan saya sangat manyukai aplikasi ini karna keren,Positif
Sangat puas.tapi sayang kenapa ada batas untuk layanan cod.mohon diperbaiki lagi🙏🙏🙏,Positif
Mempermudah belanja ketika lagi mager di rumah. Harga murah dan bisa COD,Positif
Mantap Shopee sekarang tapi tolong dibuat agar pengiriman cargo bisa COD biar makin mantap,Positif
Sangat2 ribet pembayaran COD smakin sulit....mending order di tetangga sebelah aja,Negatif
Suka sekali belanja di Shopee kerena barang nya bagus bisa COD,Positif
"Alhamdulillah sudah CO etalase 8, warna gray. Dapet harga 212 pakai Shopee pay, padahla sblm shopee pay 210.. kenapa si pakai Shopee pay sekarang mahal. Padahal top up ya udh kena admin mahal.. Huhu tapi tetp suka shopee pay dari da sb, pl,dan cod . Semoga lebih bagus lagi ya rute odrrannya. Jangan apa2 suruh bayar",Negatif
Shope tambah Parak. D batal. Akun saya gak bisa cod tempat semua nggak' bisa parah,Negatif
Barang bagus bagus dan bisa COD. Cuma kadang jasa pengiriman agak lama,Positif
"gw pedagang dan gw ngga setiap hari ada saldo di atm. kenapa shoppee ni sekarang ngga bisa COD lagi, sialan.... mau beli keperluan yang gw perluin lewat shoppee bisa nya di tf tf tf dan tf.....",Negatif
"Sangat berguna,trimakasih shopee,bisa cod kapan saja",Positif
"Kok jasa pengiriman tidak bisa ongkir gratis Aneh,makin kesini makin mahal ribet Biaya penangan klw cod mahal sekali Klw transfer tdk dpat ongkir gratis Sekarang hapus shopee mahal sekali ambil biayaya",Positif
"Shopee salah satu dr bbrpa alternatif tempat belanja online hingga memudhkan cr barang2 yg diperlukan dng hrg murah dibanding belanja langsung ke toko terdekat, banyak pilihan berupa brg keperluan spt kebutuhan bangunan, rmh tangga, komponen mbl, mtr, spd dll . Sedikit berbagi kl beli Mel cod bbrp kl brg tdk sesuai dng yg dipromokan/ diiklankan / di video kapok sj hhee..., oiya rt2 kiriman cpt 3-4 hr, pakan rapi, kurir jg ok, Saran kepd penggemar shopee bl-lah sesuai kebthnmu bkn keingin-mu,tq",Positif
Bagus tapi kalo kita tolak 2 paket kita enggak bisa cod lagi,Positif
"Shopee membebani,merepotkan pembeli jika ingin mengembalikan barang ke penjual dgn mendownload sendiri barcode nya.",Negatif
"Tolong dong untuk produk2 cod, akhir2 ini kenapa banyak returan ya? sudah gitu paket yg di retur kebanyakan mandek di agen. Apa tidak ada pengantaran seperti ekspedisi lain? Pdhl kesalahan bukan di seller, seller sudah berusaha kirim barang tepat waktu. Tp customer yg asal retur karna produk cod.",Negatif
"Dari dulu saya pakai shope buat mempermudah belanja. Tapi gara2 ada paket yang tidak sesuai pesanan saya kembalikan. Malah sekarang ga bisa buat cod. Di tambah lagi pay later juga tidak bisa di gunakan, karena terlambat bayar. Padahal sudah di lunasin. Dahlh saya pindah apk lain aj. Padahal akun ini sudah lama juga sering buat transaksi. Sangat di sayangkan..",Negatif
"Payah, Pengiriman nya aneh. Sering banget di retur tanpa sepengetahuan penjual. Sampe ga bisa cod Krn emang paket belum sampai sama sekali dan tidak ada komunikasi via telpon atau lain nya. Malah di anter ke penjual lagi. Kecewa bgt pake shoppe .",Negatif
"Belanja di Shopee semakin kesini semakin susah, shopee hanya menyediakan pengiriman spx hemat dan standar express . Padahal di tempat saya itu tidak ada kurir nya dan beberapa barang yg saya pesan kembali ke pengirim untung nya COD. Bila bisa ambil di tempat itu pun jauh. Kemana hilang nya pengiriman via jnt express padahal klo pke jnt selalu tepat waktu dan gak harus repot2 ambil paket di tempat agen 😡",Negatif
"Sejauh ini belanja cod cek dulu tidak ada yang dapat zonk, kekurangannya biar sudah di cancel tetap dikirim...",Positif
Sekarang pengirimannya lama. Trus barang di kembalikan ke penjual oleh pihak expedisi tanpa konfir ke saya. Kan jd mengganggu aktivitas sy dlm belanja. Sekarang saya tidak bisa pesan barang dengan cara COD. Katanya krn ada kegagalan pengiriman sebelumnya. Padahal pihak expedisi yg buat. Kita yg kena imbasnya. Aplikasinya juga tambah lemot.,Negatif
"ekspedisinya di pilihin langsung dari Shopee, kalo mau pake yg lain, ga kena gratis ongkir, sedangkan ekspedisi yg dipake ga ada kurir yg ngantar sampe rumah. kalo mengharuskan pake ekspedisi bawaan Shopee, seharunya pastikan dulu bener ke jangkau sampe rumah atau ngga, 3 paket COD semuanya dibatalkan sistem karena cuma sampe dc nya doang, ga ada kurir yg antar sampe rumah. besok mau dicoba lagi sampe barang bener-bener sampe ke saya, ga tau nantinya bakal siapa yg paling banyak rugi.",Negatif
"Maaf ya, untuk pesanan cod nya dah bagus, tpi kalau bisa untuk pengiriman tolong dong di mksimalkan ya kak, saya pesan paket dri awal bulan nyampe baru hari ini, hmpir setiap hari saya cek status paket, alhamdulillah udah sampai di kota tujuan, ehh tiba² di suruh cek berkala dalam 2/3 hari, pas di cek lagi tau² udah di daerah kuburaya-kalimantan barat, wahh nyasar nya kurang jauhhh🙄😆😆",Negatif
Ini jasa kirim knpa begitu..?? Setiap pembayaran cash melalu tf bank atau yg lain selalu nya di kasih lambat.. Sedangkan yg COD / cod cek dulu barang selalu datng cepat.... Tolong ya dikondisikan.. Kami selalu costumer agak kecewa dikarenakan yg pembayaran cash barang datang luar dri estimasi..,Positif
"Kenapa shopee sekarang kualitas dari kurir nya sangat menurun? Pesanan saya berkali kali di retur, berkali kali di tunda pengantarannya, di gagalkan tanpa sebab, tanpa adanya konfirmasi, kurir tidak pernah menghubungi saya. Paket saya bukan paket COD, pemilihan jasa kirim sering cuma dari SPX, dan selalu SPX bermasalah terhadap kurir dan pengiriman yang sangat tidak baik. TOLONG DI PERBAIKI LAGI DAN BERIKAN SOLUSI DARI MASALAH INI! SELAMA INI SAYA SELALU BELANJA DI SHOPEE,TAPI SEKARANG KECEWA!",Negatif
"Mohon lebih slektif dalam bekerjasama dengan ekspedisi pengiriman. Krna yg terjadi terhadap sy. Justru barang sya yg seharusnya sampai malah di return oleh kurir alasan sy MENOLAK,padahal barang belum sampai ke saya tp sudah di kembalikan ke penjual oleh tim ekspedisinya. Auto akun saya gak bisa pakai fitur COD. Ekspedisi SPX",Positif
Shopee cod tidak perlu keluar rumah dengan sentuhan jari kita mudah ber belanja.apasaja yg kita inginkan.,Positif
"Bagus, tp ada batas jumlah harga untuk pesanan cod jd GX bisa pesen banyak2 dehh.. tp it's ok",Positif
"Shopee kenapa sih sekarang gak bisa pilih ekspedisi kalo COD an, Males banget pake expedisi SPX pengiriman lama banget, padahal udah pilih yg reguler masih aja lelet, bahkan lebih dari seminggu barang belum sampai juga, beda banget sama expedisi yg sebelah emg super cepet barangnya sampai",Negatif
Shopee sgt bagus dgn menyediakan cod check dulu jadi semua brg yg dibeli dpt kita pastikan jadi gak ad dusta diantara penjual & pembeli,Positif
"Shopee sekarang untuk pengiriman kurirnya gak mau konfirmasi dulu, kalo udah sampai d tempat cuma d foto doank terus pergi, gak mau menunggu dan kabarin da d depan. Untung belinya cod, klo gak cod kadang malahan d letakan sembarangan. Barang hilang/ rusak jadinya. Kalo rusak dan hilang gak mau di salahkan. 😡",Negatif
"Senangnya belanja dishopee,tapi yang kesalnya belanja cod cek dulu pertama paket sudah terbuka dari kurir barang tidak sesuai,karena masih ditangan kurir, kurir suruh kembalikan dan divideokan sama kurir, yang kedua paket sudah terbuka dan jumlah berkurang, pesanan 20 pcs,isinya cuma 10 pcs, kemudian kurir suruh kembalikan aja. Setelah itu saya gak bisa belanja cod, anjir anjir Mana bisa kita belanja bayar dulu baru pesanan diantar, soalnya ditoko saya ramai orang.",Positif
"Aplikasi ajg, di produk keteranganya bisa cod. Pas di cek out gak bisa pakai cod. Gak jelas ajg gaje",Negatif
Turunin lagi dah bintangnya. Saya kira dengan d selesaikan semua tagihan paylater atau spinjam semua bisa d gunakan lagi seperti biasa. Padahal keterlambatan saya hanya 1x aja. Tapi setelah berbulan bulan ternyata paylater dan spinjamnya tidak bisa d gunakan lagi dengan alasan kebijakan internal. Maaf yee shopee..... Kita ini pengguna lama bukan pengguna baru. Kalo ga bisa kita gunakan lagi sekalian aja buat pembayaran codnya d hilangkan Sama semua voucher dan reward2nya jga.biar ogah buka2 lgi,Negatif
tolong dong shope untuk verifikasi scan barcode atau verifikasi wajah itu di hilangkan saya mau login tapi harus mengunakan barcode sedangkan akun shope saya tidak bisa login kemana mana.,Negatif
"Aplikasi belanja online yg sangat di minati,tapi tlong dong min ongkir jangan terlalu mahal,karena biaya penangan cod nya sudah terlalu tinggi,jangan sampai pelanggan berpindah ke aplikasi lain gara2 biaya penanganan untuk cod terlalu tinggi.",Positif
"Kecewa dengan pengiriman SPX telat 1 hari konsistensi kurir SPX COD (TURUN DRASTIS). kalau bisa tanpa ratting bintang ndak akan saya kasih bintang, kemarin tertera di pengiriman estimasi sampai tanggal 5 tapi setelah tanggal 5 barang sudah di kota yang dituju mundur tanggal 6 apa itu.... Tambahan untuk pelacakan map dengan status tidak singkron jadi pelanggan bingung dan keterlambatan pergerakan pengiriman dari kota ke kota butuh waktu seharian untuk ada pergerakan kurir expedisi",Negatif
"Untuk pihak shopee knpa akun saya tidak bisa cod, sedangkan kesalahan bukan dari saya, kesalahan itu kan dari pihak kurir SPX yg mengembalikan paketan orng tanpa pemberitahuan.?",Positif
"shopee apk terbaik menurutku soalnya bnyk baju""and barang""lucuu, apk nya juga gk lag,bs cod juga bnyk gratis ongkirnya,koin""nya jg bs dipake buat ngurangin harga yg kemahalan jg, terimakasih udh nyiptain apk shopee🫶🌸",Positif
"Aku suka belanja pakai apk shopee bisa dikatakan sering lah, tapi maaf ya min aku gak suka sama kurir shopee express mereka nagih pembayaran cod kadang lebih terus, gk terlalu jauh sih perbedaan nominalnya tpi sama aja pengen dapet komisi dari customer kan itu ya namanya... Aku lebih suka kurir dari J&T min, mereka itu selalu jujur, malahan ada yg digenapin aja, contoh tagihannya 50.400 dimereka cuma ditagih 50.000 aja...",Positif
Dengan adanya shoppe memudahkan saya untuk berbelanja sambil duduk manis di rumah tanpa cape cape pergi'''cuman kalau bisa saran buat shopee tolong semua toko bisain cod.,Positif
"Tempat belanja online yg sangat membantu. Gak perlu keluar rumah, cukup cod.. Barang nyampai sesuai pesanan",Positif
"Kenapa akun saya yang kena sangsi? Saya kan membatalkan pembayaran COD karna barang yang saya pesan tidak sesuai, masa kalian mau paksa saya untuk bayar barang yang tidak sesuai? Seharusnya tokonya yang di beri sangsi bukan akun saya, pihak shopee tidak konsisten kalo kalian sanksi akun saya hanya karena saya membatalkan pembayaran cod barang yang tidak sesuai, itu berarti kalian bekerja sama dengan toko2 penipu",Negatif
Kenapa cod sy diblokir. Dan kenapa banyak barang palsu di shopy kok masih bebas jual. Tolong yg sportive. Dan kalau sy order tidak sesuai sy bayar. Trs dikembalihkan uang tidak kembali sepenuhnya. Toko tiba tiba langsung keluar. Apa shopy mau tanggung kawab.padahal sy mau chat. Terus order hp dapat tangkai bunga. Apa shopy tau. Tolong kalau pingin sukses kedepannya. Buat shopy. Terimakasi.SPORTIVE LAH PIHAK SHOPY. SAYA SELAMA INI UDA DIRUGIHAKAN SAMA TOKO TOKO YANG JUAL DISHOPY. TERIMAKASI.,Negatif
"Aplikasi pemeras,beli 1 atau lebih tetap ,dikenakan ongkir yg sama,beli produk yg murah lebih mahal ongkirnya,sampai tepat waktu seperti karet,bisa di melarin,saat cekout sudah ada tanggal waktu sampainya,lewat dari itu ada lagi SMS tanggal barunya tiba,sampai kapanpun tidak akan terlambat kalau begitu,parah...ada namanya cod cek dulu ,eee kenapa tidak diberlakukan wajib kepada penjual,padahal segala sesuatu bembeli yg nanggung,sama saja pihak aplikasi melindungi penjual yg nakal dan merusak apl",Negatif
"Barang dibeli masih dalam tahap packing ternyata pas dicek ada ingredient dr produk tersebut yang tidak bisa saya gunakan, hub seller minta tolong approved pembatalan, seller tidak ada respon dan menolak pembatalan. Hub cs tidak ada solusi disuruh nunggu saja. Terrible experience Saya di serve sama cs an ZAFRAN. Kata cs sebelum ZAFRAN kalau kendala saya bisa di fu ternyata barang masih dikirim. Pemesanan cod saya bilang saya tidak mau bayar malah dipaksa ZAFRAN untuk tetap bayar 👎",Negatif
"Bagus aplikasinya .. mudah digunakan untuk belanja.. cuman kadang kadang gak bisa cod aja walaupun ada tulisan cod,,",Positif
"Joss,, gratis ongkir terus,., sayangnya gara² gak sengaja ada cod yang salah alamat malah akunku gak bisa untuk cod sementara Semoga lekas kebuka lagi cod nya 🙏",Positif
"Pengiriman lama pake SPX Express (reguler) minta bantu sama cs shopee katanya di prioritaskan tapi paket masih aja belum sampai dari tgl 3 sampai sekarang tgl 12 paket belum diterima sebelumnya estimasi paket diterima tgl 6-7 terus tgl 11 terus lagi tgl 13 terus lagi sampai kapan SHOPEE (?) Diajukan pengembalian barang/dana kata adminnya gak bisa karena paket dalam proses pengiriman, hedeh nasib aja lagi padahal belinya bukan cod, mungkin jdi lama pengiriman nya jalan kaki.",Negatif
"Knpa ya sekarang sistem COD ga ada nominal jumlah uang yg harus dibayarkan. Kurir jadi seenaknya bikin harga. ""Misal"" 33.000 lngsng disuruh bayar 35.000 sebenernya sih gapapa. Tapi keseringan juga kayak gimana gitu. Padahal lebih ikhlas kalo kita ngasih sendiri, misal ""kembaliannya buat mas nya aja"". Bukannya pelit sih, tapi kan ga semua orang mau diginiin berharap bayarnya segini malah disuruh bayar lebih. Tolong kembaliin nominal COD yg ada di resi. Biar bisa lihat lngsg nominal yg hrs dibayar",Positif
"Bagus keren,tapi kenapa saat saya ingin pesan lagi di pembayaran COD gak bisa ya,udah ganti akun malah ada pemberitahuan saat saya pesan lewat COD katanya apa itu aku lupa tapi ada kata akun anda akan diblokir gitu,tapi aku suka aplikasi nya si",Positif
"Sangat mengecewakan bisa""nya kena tipu disini,padahal gak ada riwayat pembelian atau pembelanjaan tapi tiba"" ada paket cod sebesar 172 ribu,berarti ada pembocran data dari sininya,tolong d usut min nama tokonya @aa.zia.fashion padahal udah percaya banget sama shopee dan sekarang sangat"" kecewa",Negatif
"Makin kesini shopee makin aneh soal pengiriman, biasa nya kurir ngehubungi skrg ga sama sekali tau tau paket udh balik aja ke penjual. Padahal kita beli kan emang butuh baik sistem payment cod, shopeepay ataupun shopeepaylater",Positif
Sebenarnya suka dengan aplikasi ini. Tp pengirimnya itu yang ga bikin suka 😅. Kita beli barang dengan sistem COD. Eeh di estimasi dikirim tg 14. Ternyata udah dibawa kurir dan dianter kurir tgl 13. Dan pas kita g dirumah. Langsunglah di chat pribadi sama kurir klo di minta untuk uangnya di transfer. Nah ga mau dong... terus gunanya COD apa kalau uang hatus di transfer??? Ya udah kita bilang ke kurirnya dicancel aja gpp. Dah 3kali kyk gitu. Jadi males klo belanja kurirnya SPX .,Negatif
"Banyak merugikan penjual sekarang yah ,pembeli ngeretur barang dengan alasan berubah pikiran di ACC sama shopee,dikira kita sebagai penjual harus ngertiin semua pikiran pembeli di dunia ini,buat apa fungsi ajukan banding ga guna,lu tuh potongan udah gede seenaknya lagi, minimal kalo pembeli yang suka g bayar cod atau ngatain penjual atau merugikan penjual di nonaktifkan kek akun nya kasih peringatan, jangan apa apa penjual ,kita juga bayar ke anda shopee ga asal jualan ,lama lama gajelas",Negatif
"Hallo sophe, Dari sejak tahun 2017 sampai saat ini.. Aku puas dengan semua fitur,paylater,cod,gratis ongkir,harga paling murah, sering dapet barang gratis semuanya fitur shope aku suka, Tapi kalo boleh kasih saran, Kalo disetiap pengiriman yang sudah perjalanan kelokasi/kerumah kita dikasih tau nama kurirnya, jadi semisal sy sedang tidak dirumah saya bisa langsung menghubungi kurir tersebut &memberi tahukan kalau saya tidak dirumah uang paket saya titipkan kekeluarga/ketetangga, terimakasih🙏",Positif
